year,age range_year,persons,days,amount_sek
2004,-24,2560,24184,10379026
2004,25-29,4079,41891,21187546
2004,30-34,4223,45592,24305196
2004,35-39,3900,44442,25236334
2004,40-44,3105,36131,19944259
2004,45-49,2318,27814,15865777
2004,50-54,1724,22208,12738537
2004,55-59,1518,17766,10620474
2004,60+,1203,19454,12673773
2005,-24,3603,48501,18331290
2005,25-29,4948,54716,25963030
2005,30-34,4754,44775,23641736
2005,35-39,4237,43563,23760678
2005,40-44,3624,39199,21553845
2005,45-49,2642,30292,16889432
2005,50-54,2112,23498,13421331
2005,55-59,1744,17486,10525974
2005,60+,1469,17847,13359020
2006,-24,4144,56639,20690368
2006,25-29,5515,60804,28806083
2006,30-34,5424,49423,25896269
2006,35-39,4891,47471,26696795
2006,40-44,4261,42961,23444844
2006,45-49,2895,30496,16915298
2006,50-54,2333,25433,14652817
2006,55-59,2011,20804,12212606
2006,60+,1981,22383,19428067
2007,-24,3354,42857,15835920
2007,25-29,4397,44936,21061289
2007,30-34,4412,40529,20961584
2007,35-39,4126,38680,21162730
2007,40-44,3993,39339,21721155
2007,45-49,2825,29594,16051212
2007,50-54,2224,23631,13179206
2007,55-59,2010,23974,14129335
2007,60+,2374,25482,21482251
2008,-24,1954,22957,8721730
2008,25-29,3355,41256,18483471
2008,30-34,3513,34337,17248458
2008,35-39,3438,35711,19126695
2008,40-44,3334,31468,17658228
2008,45-49,2627,28040,14995137
2008,50-54,1976,20285,11656262
2008,55-59,1821,19346,11879527
2008,60+,2153,18949,14600872
2009,-24,1442,14313,5658177
2009,25-29,3023,32425,14640415
2009,30-34,3064,31397,15976958
2009,35-39,2889,28916,14864349
2009,40-44,2751,30732,16687890
2009,45-49,2306,25743,14627391
2009,50-54,1827,21280,11833057
2009,55-59,1577,16703,9643265
2009,60+,1581,15968,11073281
2010,-24,1204,9426,3983037
2010,25-29,3215,32360,15329641
2010,30-34,3431,34276,17885999
2010,35-39,3296,32312,16739759
2010,40-44,3111,31104,16875290
2010,45-49,2663,29144,16141910
2010,50-54,2076,24363,13428282
2010,55-59,1632,19201,11198706
2010,60+,1742,19401,13096647
2011,-24,895,6940,2750182
2011,25-29,2479,23383,10914551
2011,30-34,2872,29884,14960067
2011,35-39,2880,31477,16253758
2011,40-44,2795,29206,15585908
2011,45-49,2588,29830,16499793
2011,50-54,2028,22388,12702472
2011,55-59,1604,15517,8915050
2011,60+,1615,16903,12402987
2012,-24,873,6640,2893211
2012,25-29,2337,22485,10770027
2012,30-34,2801,28806,14883145
2012,35-39,2768,29546,15161304
2012,40-44,2497,26689,14395390
2012,45-49,2532,29469,16148423
2012,50-54,1985,23681,13148039
2012,55-59,1565,15619,9000707
2012,60+,1653,14617,11277632
2013,-24,924,6096,2592070
2013,25-29,2413,22860,10645323
2013,30-34,2772,26531,14095154
2013,35-39,2648,26559,14080305
2013,40-44,2487,26171,14300830
2013,45-49,2393,23678,13231157
2013,50-54,2044,20382,11456307
2013,55-59,1652,17914,10237330
2013,60+,1547,13224,8847266
2014,-24,986,6861,3020881
2014,25-29,2780,25072,12204008
2014,30-34,3275,32832,16717206
2014,35-39,2921,29307,14914399
2014,40-44,2910,27592,15104010
2014,45-49,2864,29466,16409340
2014,50-54,2453,22612,13119583
2014,55-59,1894,15923,9418928
2014,60+,1689,13029,8342628
2015,-24,952,7209,2797111
2015,25-29,2713,24572,11959364
2015,30-34,3147,27394,14494095
2015,35-39,2858,26406,14289407
2015,40-44,2789,24774,13695412
2015,45-49,2699,23827,13712897
2015,50-54,2509,22931,13547730
2015,55-59,1971,17250,10139999
2015,60+,1686,12380,7806804
2016,-24,911,6587,3026107
2016,25-29,2820,24077,13231235
2016,30-34,3091,26593,15117233
2016,35-39,2916,24724,15078193
2016,40-44,2596,22355,14087104
2016,45-49,2595,23200,14614222
2016,50-54,2519,21831,13669359
2016,55-59,2047,14247,9600308
2016,60+,1773,14420,9813342
2017,-24,839,6478,3270864
2017,25-29,2592,22751,12841348
2017,30-34,2959,29108,17114296
2017,35-39,2814,25282,15401849
2017,40-44,2532,24121,14778346
2017,45-49,2488,23074,14805956
2017,50-54,2395,20805,13390401
2017,55-59,1956,15209,10353340
2017,60+,1880,13741,9876214
2018,-24,809,6128,3119985
2018,25-29,2773,24122,13308894
2018,30-34,3332,28605,17520178
2018,35-39,3141,27147,16786523
2018,40-44,2738,24224,15397401
2018,45-49,2598,21969,14363733
2018,50-54,2561,23900,16154373
2018,55-59,2173,18177,12946600
2018,60+,2115,13846,10513869
2019,-24,1083,6991,3591227
2019,25-29,3565,29550,16278769
2019,30-34,4091,37989,22614136
2019,35-39,3786,33454,21447002
2019,40-44,3354,32499,20719047
2019,45-49,3097,27228,17358930
2019,50-54,3033,23503,15740884
2019,55-59,2614,19941,14008253
2019,60+,2547,16409,12036801
2020,-24,2044,12818,6907717
2020,25-29,4706,39822,23514647
2020,30-34,5222,50028,29842990
2020,35-39,4669,43628,27706349
2020,40-44,4232,37336,24057546
2020,45-49,3890,32948,22199836
2020,50-54,3800,28656,20809063
2020,55-59,3613,23714,17104780
2020,60+,3357,21322,16636126
2021,-24,1871,12315,7607954
2021,25-29,5567,42713,28489110
2021,30-34,6895,59217,40360595
2021,35-39,5925,54759,38669013
2021,40-44,5271,46654,33918673
2021,45-49,4901,40703,30896333
2021,50-54,4754,36188,28102384
2021,55-59,4761,30943,24130705
2021,60+,4108,22772,19458377
2022,-24,1045,7198,4420720
2022,25-29,3352,34140,23094784
2022,30-34,4603,48655,34158321
2022,35-39,4014,46503,33247240
2022,40-44,3433,45156,33452946
2022,45-49,2903,32697,25229271
2022,50-54,2680,27536,20977461
2022,55-59,2689,25650,20315601
2022,60+,2413,19631,16696729
2023,-24,1153,9288,5883136
2023,25-29,3340,35269,24085043
2023,30-34,4698,48681,35394087
2023,35-39,4164,46923,34801842
2023,40-44,3390,40245,30605957
2023,45-49,2878,35966,28776994
2023,50-54,2667,29672,22851980
2023,55-59,2536,23159,19079966
2023,60+,2547,18292,17181187
